,Industry,Position.to.be.closed,Interview.Type,Gender,Candidate.Current.Location,Candidate.Job.Location,Interview.Venue,Candidate.Native.location,Have.you.obtained.the.necessary.permission.to.start.at.the.required.time,Hope.there.will.be.no.unscheduled.meetings,Can.I.Call.you.three.hours.before.the.interview.and.follow.up.on.your.attendance.for.the.interview,Can.I.have.an.alternative.number..desk.number..I.assure.you.that.I.will.not.trouble.you.too.much,Have.you.taken.a.printout.of.your.updated.resume..Have.you.read.the.JD.and.understood.the.same,Are.you.clear.with.the.venue.details.and.the.landmark.,Has.the.call.letter.been.shared,Expected.Attendance,Observed.Attendance,Marital.Status
1,pharmaceuticals,production-sterile,scheduledwalkin,male,chennai,hosur,hosur,hosur,yes,yes,yes,yes,yes,yes,yes,yes,no,single
2,pharmaceuticals,production-sterile,scheduledwalkin,male,chennai,bangalore,hosur,trichy,yes,yes,yes,yes,yes,yes,yes,yes,no,single
3,pharmaceuticals,production-sterile,scheduledwalkin,male,chennai,chennai,hosur,chennai,NA,unknown,NA,NA,NA,NA,NA,unknown,no,single
4,pharmaceuticals,production-sterile,scheduledwalkin,male,chennai,chennai,hosur,chennai,yes,yes,no,yes,no,yes,yes,unknown,no,single
5,pharmaceuticals,production-sterile,scheduledwalkin,male,chennai,bangalore,hosur,chennai,yes,yes,yes,no,yes,yes,yes,unknown,no,married
6,itservices,seleniumtesting,scheduledwalkin,male,gurgaon,gurgaon,gurgaon,gurgaon,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
7,itservices,seleniumtesting,scheduledwalkin,male,gurgaon,gurgaon,gurgaon,gurgaon,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
8,itservices,seleniumtesting,scheduledwalkin,female,gurgaon,gurgaon,gurgaon,noida,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
9,itservices,seleniumtesting,scheduledwalkin,male,gurgaon,gurgaon,gurgaon,delhi/ncr,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
10,itservices,seleniumtesting,scheduledwalkin,female,gurgaon,gurgaon,gurgaon,delhi/ncr,yes,yes,yes,yes,yes,yes,yes,yes,no,single
11,itservices,dotnet,scheduledwalkin,male,bangalore,bangalore,bangalore,cochin,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
12,itservices,dotnet,scheduledwalkin,female,bangalore,bangalore,bangalore,trivandrum,no,yes,no,no,yes,yes,yes,unknown,no,single
13,itservices,dotnet,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
14,itservices,dotnet,scheduledwalkin,male,bangalore,bangalore,bangalore,trivandrum,no,yes,yes,yes,yes,yes,unknown,unknown,yes,single
15,itservices,dotnet,scheduledwalkin,male,bangalore,bangalore,bangalore,cochin,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
16,itservices,dotnet,scheduledwalkin,female,bangalore,bangalore,bangalore,cochin,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
17,itservices,dotnet,scheduledwalkin,female,bangalore,bangalore,bangalore,trivandrum,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
18,itservices,dotnet,scheduledwalkin,female,bangalore,bangalore,bangalore,bangalore,no,yes,yes,no,yes,yes,yes,no,no,single
19,itservices,dotnet,scheduledwalkin,male,bangalore,bangalore,bangalore,cochin,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
20,itservices,dotnet,scheduledwalkin,male,bangalore,bangalore,bangalore,cochin,yes,yes,yes,yes,yes,yes,yes,yes,no,single
21,itservices,dotnet,scheduledwalkin,male,bangalore,bangalore,bangalore,trivandrum,unknown,yes,yes,yes,yes,yes,no,no,no,single
22,itservices,dotnet,scheduledwalkin,male,bangalore,bangalore,bangalore,trivandrum,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
23,itservices,dotnet,scheduledwalkin,male,bangalore,bangalore,bangalore,cochin,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
24,itservices,dotnet,scheduledwalkin,male,bangalore,bangalore,bangalore,cochin,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
25,itservices,dotnet,scheduledwalkin,male,bangalore,bangalore,bangalore,trivandrum,yes,yes,yes,no,no,yes,yes,unknown,no,single
26,itservices,dotnet,scheduledwalkin,male,bangalore,bangalore,bangalore,cochin,no,no,yes,yes,yes,yes,no,no,no,single
27,itservices,dotnet,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,no,yes,yes,yes,yes,yes,no,no,no,married
